date,region,temp_max_c,temp_min_c,temp_avg_c,rainfall_mm,humidity_pct,wind_speed_kmh,sunshine_hours,uv_index,cloud_cover_pct,evapotrans_mm
1/1/2020,South,39.34748328,27.69848569,37.38770691,0.191517906,61.71916114,27.65496938,10.75958517,1,10.24126671,5.580128667
1/2/2020,West,22.5021573,22.63056689,28.19959322,18.57097561,58.68798059,9.119431466,8.670602305,3,14.6036721,4.912921276
1/3/2020,North,23.60089208,18.29083433,20.76111827,5.619067688,55.56538826,18.87703903,5.754999144,4,46.27404592,7.833290583
1/4/2020,North,33.42337068,23.49760411,38.1509384,3.489056512,52.41962595,28.80218226,2.73722017,6,52.93167291,4.22720305
1/5/2020,East,20.30034125,8.148198186,38.27489573,3.038813072,67.20804047,26.17098799,8.573902511,4,25.12219747,7.672541295
1/6/2020,South,47.38545281,15.11505732,18.14323784,3.65986135,51.10387967,24.67041581,3.443259996,0,95.38594942,4.995688786
1/7/2020,North,27.56934541,25.08741871,36.32381745,0.188001868,68.04479025,26.36001085,4.235097605,3,80.99260212,2.68102791
1/8/2020,East,20.13349486,26.89830028,35.92687564,1.814093344,62.9543911,25.32843559,8.308391004,4,47.02476019,9.782514677
1/9/2020,North,44.19964238,25.6040869,29.73620725,0.374846797,50.78439053,11.37437485,3.748761064,1,16.63197258,3.458986716
1/10/2020,West,21.86481721,24.08652187,26.82188641,0.771498737,82.28871567,0.466425153,3.562324683,0,89.12662394,4.238600881
1/11/2020,South,44.48371359,18.94682321,19.61986398,,28.12952503,29.62858856,5.306226431,1,15.44662577,5.74502138
1/12/2020,East,42.36465136,12.17114676,20.25371408,4.466934114,44.67796405,23.24585597,7.96162074,3,68.36471616,8.211360897
1/13/2020,West,23.38922359,10.43763125,21.57435662,10.67339532,61.16799803,6.775189574,11.30208455,9,62.53105114,5.108764016
1/14/2020,North,23.16657273,28.32787705,17.01682417,17.3988552,91.63227946,22.43972967,1.784556717,2,88.14425914,3.167474277
1/15/2020,Central,40.78855342,12.63751965,32.79873748,5.562797788,30.26132254,10.93723265,3.030905545,7,31.80616733,7.167113498
1/16/2020,Central,41.98534261,13.39609951,16.24273228,1.252146531,67.61246397,7.40231984,11.82427417,3,24.77024763,8.001019577
1/17/2020,Central,30.52184648,23.87877861,17.40040773,1.556562795,37.41391892,16.97858598,7.405600952,3,42.43901504,8.254958993
1/18/2020,East,44.53967418,24.62907315,19.12905262,1.467308168,25.88924263,0.319888608,0.115444676,4,88.22041303,5.83297405
1/19/2020,South,25.55618955,16.98013616,32.22310445,7.294035289,88.26862356,29.29421526,10.7356356,0,13.61196914,7.192138303
1/20/2020,West,37.10222676,9.651085967,17.89975177,5.958309224,88.98887397,28.28959598,3.38528922,0,94.72747462,4.102447006
1/21/2020,East,31.63095302,18.65804406,19.43848813,0.260634962,45.06569686,23.70344405,6.600468111,9,66.15142165,2.306200006
1/22/2020,Central,29.34241925,25.87991602,38.42091116,2.730125512,87.82662787,1.603082075,4.406765603,4,7.495779599,2.368974003
1/23/2020,South,35.0511846,27.40331653,22.09683773,4.106355712,52.53088037,2.246311105,2.091478281,5,60.48333138,1.386462372
1/24/2020,South,28.47744861,22.30476383,32.35114348,,28.45066036,19.44819471,7.223919769,2,53.03662018,3.106880057
1/25/2020,East,26.23920853,23.06067424,38.32242277,3.601672606,41.37714474,23.99398697,2.579557311,3,62.93168142,6.935254228
1/26/2020,South,35.13425363,8.523275109,16.03684114,11.34744486,72.49157381,1.622885126,2.736281089,7,49.44928256,9.178875208
1/27/2020,Central,34.76837902,12.68890834,26.66348155,0.19415779,40.05037383,16.90967498,9.632310434,4,79.76649449,8.136566191
1/28/2020,East,42.69311012,24.43437093,28.37895544,0.750586114,67.12258692,20.9727361,7.717526745,8,83.82863506,7.897791943
1/29/2020,West,38.21730261,19.67108243,34.01909845,0.436215212,38.32267393,4.908148162,11.02084248,1,55.84328848,9.184675325
1/30/2020,East,29.36851416,20.91334117,39.10321908,1.843851846,40.21281856,5.267689517,5.255786587,5,9.33624337,3.051150965
1/31/2020,North,39.2514718,25.82852683,16.02081738,1.845360559,74.3089623,27.94090339,6.060249642,8,50.1641505,1.530706316
2/1/2020,North,23.26581865,22.72849719,24.50918882,12.46713834,88.51751611,12.03076196,0.832871508,4,9.494048148,4.779835924
2/2/2020,Central,25.08302609,17.23776823,25.77244129,6.446469805,79.61682305,8.236239153,4.317711354,4,2.256257709,4.389715339
2/3/2020,West,36.41565458,29.42838925,39.16716467,4.054977204,29.23361479,1.367200252,0.585126982,10,43.07651983,6.376551209
2/4/2020,North,35.59260378,13.31875416,34.0031702,4.111323953,92.38092022,1.106860452,4.201196997,4,96.98523117,5.344917219
2/5/2020,Central,34.8458586,15.47844146,38.38259704,4.392909245,36.71115729,7.745224488,4.904646502,10,17.05512398,7.734786403
2/6/2020,West,37.75783341,22.68731087,18.38534586,0.749528693,78.09741872,18.59906958,2.076630337,5,80.38360071,8.167666111
2/7/2020,North,24.31925375,13.10475621,15.61791135,1.749101824,,18.15400339,10.26103927,7,1.000439694,6.193716319
2/8/2020,West,42.43491532,16.37112299,39.27586863,4.160219007,57.95980354,6.76453817,4.040858779,7,9.186913484,2.870627135
2/9/2020,South,44.51201828,23.20928932,23.27330067,0.136002372,,22.2775891,0.656903919,0,83.8327168,8.906100261
2/10/2020,East,34.59003816,15.43776846,31.42568798,2.69260494,32.00410631,13.83557102,4.684527124,3,38.06232185,3.378900687
2/11/2020,East,39.17536767,9.259005299,18.92777236,7.247502611,96.01833519,23.98101113,6.576452053,8,96.85460371,7.888471374
2/12/2020,Central,42.95090303,20.31979499,28.83423494,3.150590026,29.72325429,27.73118563,5.73644509,5,6.178671424,5.572390256
2/13/2020,West,38.20770873,24.94273819,38.52774882,8.014945014,91.43631915,7.11992238,6.760550242,4,33.4974006,6.010369784
2/14/2020,West,32.16537341,24.34273796,32.5682835,5.488994766,43.17784872,13.44954391,10.59040498,4,58.29940896,2.450420635
2/15/2020,South,39.13030399,21.6639766,26.29341966,3.096277019,53.57121324,1.595695031,0.352020996,3,68.59745719,6.135556809
2/16/2020,West,46.06106031,24.83551482,38.0580369,1.891511053,80.3219887,22.88067444,9.470933907,4,50.63758764,8.512372255
2/17/2020,West,28.02352574,12.38517999,18.14888352,4.266234322,89.17654796,9.677412258,4.510662157,1,84.29771154,4.933577842
2/18/2020,West,42.43397304,24.14704205,26.73245763,2.751921332,75.76394692,19.53641441,4.607802846,8,66.2936551,3.912268872
2/19/2020,South,47.92658007,9.098433827,29.32080954,20.62235386,33.87583643,11.43448937,7.082744526,2,93.73892361,3.421076927
2/20/2020,South,41.3607721,24.2811674,15.34130068,3.771189985,50.70656644,4.276401823,7.122899023,0,78.10340276,5.249340181
2/21/2020,South,28.7000206,9.115548086,15.45042558,1.16004723,69.53585776,0.211788127,1.268054819,1,96.5840135,3.218394784
2/22/2020,West,23.41948695,24.97257293,30.45547014,13.18643613,,19.21073026,7.606572115,4,73.69725066,4.948170523
2/23/2020,West,35.24672078,27.4684784,31.36168365,1.35334976,54.57818058,28.03011567,2.104616505,9,23.95716184,5.474975937
2/24/2020,East,23.25598404,26.23889486,39.54384094,8.857026969,47.08572646,27.10639444,3.539417723,4,51.84025777,2.536845634
2/25/2020,West,32.92616919,15.66800645,22.76129367,2.710655611,45.46744934,28.21624249,5.802761104,10,34.69416953,8.699960762
2/26/2020,Central,29.42751079,29.45291539,23.57057077,4.882106,87.34075496,20.64245916,8.007969132,2,46.40823816,7.485809633
2/27/2020,South,33.32085385,19.40508019,29.86181299,0.901178159,37.45399505,12.87465365,9.086327739,5,48.56893312,8.357194165
2/28/2020,West,28.81562144,16.34322081,33.54984083,3.278465298,72.06276869,15.79274942,8.628953891,3,95.09707912,8.768144002
2/29/2020,South,43.6570318,20.81090229,28.00109738,0.898035881,86.92645677,21.78682489,6.243154387,1,74.06876821,5.585600815
3/1/2020,South,32.23783542,14.70852994,30.44535027,1.08485649,87.29260564,8.962706783,2.042263075,3,76.31145054,8.956129513
3/2/2020,Central,22.93602684,11.92275898,20.15728403,0.705968529,34.51202338,5.747222656,8.122032699,4,90.33624818,6.357631931
3/3/2020,South,38.08133945,11.59351928,32.90022342,2.386720099,82.90386797,2.035857128,11.71923887,5,0.870705229,9.641832353
3/4/2020,South,41.79527287,11.728091,25.06780065,2.891963805,92.12201355,14.30105741,9.796376484,0,73.93136918,4.866144298
3/5/2020,South,31.89230706,13.02245605,29.43416544,1.218563436,82.13405379,2.747566682,5.171601061,6,74.43436748,8.001985029
3/6/2020,East,36.95764045,27.50203418,31.47958472,,76.22528086,13.80777629,5.511056878,0,48.78314984,4.152426514
3/7/2020,East,32.49235232,16.90365472,15.18368414,1.264587828,62.73393588,24.38441859,11.45236091,3,30.37404466,2.149791147
3/8/2020,West,25.62798151,8.002153815,29.40684448,2.947733557,81.03847214,4.590693294,0.813149561,9,5.101456223,8.768356716
3/9/2020,East,36.71609218,14.68537713,38.56525286,4.630287054,67.06646375,3.616657253,7.115059175,3,96.86378013,7.289202409
3/10/2020,West,39.63578225,29.91426927,17.48123225,0.24769015,54.74785047,7.362962415,1.692101097,0,49.2922434,6.243745226
3/11/2020,East,26.97760064,24.19633885,17.71558006,7.868542301,61.04909762,2.497560922,0.904599704,8,11.68769556,9.556799249
3/12/2020,Central,39.87109788,19.08448076,19.98456534,1.771378581,72.77262607,10.93619751,3.412555072,8,66.80859892,8.097112356
3/13/2020,South,44.07909127,10.80186869,17.49670481,2.909667149,65.80989025,18.2654314,2.753429577,2,78.13361511,1.650130042
3/14/2020,Central,45.67893794,18.02265904,36.34035401,2.360934839,73.83739605,14.16310889,0.546354687,10,92.04262282,1.386850486
3/15/2020,West,24.83074665,22.0726487,37.03094173,11.95658738,96.66444659,21.60970904,10.23602301,3,48.67016647,6.194254328
3/16/2020,West,24.68573299,28.21287082,26.84729944,0.841926973,44.0535668,3.607474369,10.02252658,0,80.91720229,5.105425955
3/17/2020,North,44.33857246,18.82364346,34.78074417,3.943336636,97.68967023,10.20934819,8.168990406,0,85.57812218,1.460627011
3/18/2020,East,39.17016761,20.05816582,22.58583211,7.054200257,28.95259177,12.50842823,9.22045995,2,21.33778199,1.881757972
3/19/2020,East,23.63452372,20.48952541,27.59773815,2.238318682,69.3719099,13.79079659,0.79868454,4,41.99651312,4.075082061
3/20/2020,Central,33.86346112,28.91736455,28.44497078,1.633011693,93.18079104,2.060768478,3.273126282,8,60.39955355,4.847678544
3/21/2020,East,41.27371826,15.45534438,22.65763548,0.476786659,32.47921467,1.926629567,7.09989659,8,53.80005336,7.497721032
3/22/2020,Central,25.57464302,26.9320769,29.68274528,5.102995232,97.28525073,2.533816817,10.70534362,1,99.48010917,7.909077956
3/23/2020,East,45.49128662,17.48963408,36.07784002,6.168795798,92.05195829,4.211136894,8.482670492,10,37.27494386,5.799987554
3/24/2020,South,44.24680725,24.29853484,38.62791551,1.505149905,87.34965818,0.013080429,0.213783903,9,86.72165899,2.318054571
3/25/2020,West,36.6198824,18.6284676,22.61859276,5.981659914,63.47081984,9.057153592,2.869237386,4,19.45228829,4.199522293
3/26/2020,East,41.77666899,20.19417821,38.12589376,0.420417375,40.60459695,12.34100472,4.853885656,9,90.82368874,8.268268408
3/27/2020,South,24.16495956,15.24123051,30.68128288,2.251863487,31.51004431,16.46115767,7.46196989,2,1.339340255,9.218668512
