record_id,region,soil_type,crop_type,season,growth_stage,irrigation_method,soil_moisture_pct,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm,evapotranspiration,irrigation_needed
1,North,Silt,Sugarcane,Zaid,Seedling,Furrow,36.217808319315374,26.809065608323262,48.023061385002386,3.4624394270043806,18.24995777474926,4.8694833571035865,89.34023957210435,88.36193149312278,61.276968446905386,4.629256464640124,1
2,North,Peaty,Groundnut,Kharif,Fruiting,Sprinkler,76.55000144869413,29.20306978125064,44.96840721735525,6.8668269583024575,4.612799889967789,4.74301491835208,64.30094349478703,5.641002825649137,19.437643908221894,9.984122609937103,0
3,South,Sandy,Sugarcane,Rabi,Maturity,Sprinkler,,40.636421796065406,33.211543437714504,4.135299293966748,8.665992359247154,6.916767802974656,135.02979348095172,88.77774942712651,25.90364111930427,11.93814498155453,0
4,South,Clay,Cotton,Kharif,Seedling,Flood,51.90609389379256,25.200131581796764,65.5450002576116,0.4348891592802596,16.582015921445457,8.364465289971019,30.656983137793347,13.001947980796857,37.03758127708897,10.248376916097502,0
5,South,Peaty,Rice,Rabi,Seedling,Drip,20.921304830970556,41.08949054436514,55.74681203814717,1.0263968313478036,12.052233613111998,6.510885235818896,82.2998982398517,102.99991458521836,41.74893354481441,4.807572190777215,1
6,Central,Peaty,Soybean,Kharif,Maturity,Flood,20.919616423534187,17.644032929300746,84.92757442430027,1.2380021374110515,18.464275965872346,4.706060903757221,98.02940209863117,56.561258754234935,49.66367088816153,8.823776327541486,1
7,West,Sandy,Cotton,Kharif,Maturity,Sprinkler,14.065852851773961,38.303953116258924,22.40821853615437,1.4911155298857488,24.030197530571492,5.384874624309825,115.57902850835343,121.46599127743521,52.36930593751635,6.873157916901806,1
8,East,Peaty,Soybean,Zaid,Maturity,Sprinkler,70.63233020424546,40.42642899164209,68.29009456663448,4.1666850797721295,2.913667192879937,5.479171625663083,56.97594425992099,136.66674056344394,93.42185082494487,9.651695622717494,0
9,Central,Sandy,Soybean,Rabi,Flowering,Drip,52.078050822024615,20.454529585120163,77.22116588836708,3.505551811747774,17.739192909951523,5.8514285165478,96.16906707204741,60.48099951251331,104.46250411933846,2.684071341108659,0
10,West,Peaty,Cotton,Kharif,Flowering,Flood,59.56508044572318,27.91039597116601,76.96149268912302,1.1355071065699534,5.758603890802863,4.6744135343448505,42.44820599379959,66.78051784369319,63.320237665902965,8.019480519104942,0
11,North,Clay,Tomato,Kharif,Maturity,Flood,11.440914600706172,19.964993239909667,86.45554753216439,0.34972471275522465,10.36191818518923,8.119570801991665,60.96665293065484,85.57139924686328,185.9957660837493,9.510334506759081,1
12,Central,Sandy,Cotton,Zaid,Maturity,Drip,77.8936896513396,36.19812386982653,74.67753071221205,0.9402830811170958,0.8215681448784956,6.562255778885981,125.38779836847588,28.584244669417327,113.39364328448569,9.373544689473041,0
13,West,Sandy,Sugarcane,Zaid,Fruiting,Sprinkler,68.27098485602951,31.060433041849702,89.58575462357722,20.796435862916685,3.3976845573174734,7.183723171816436,132.9870653063336,134.4632619201124,161.43277024684838,11.599523061641598,0
14,Central,Peaty,Sugarcane,Rabi,Seedling,Sprinkler,24.86373774747933,34.05970040124963,44.94924498656686,3.160702098053709,7.994432226222492,4.768691347580036,100.63442856981706,62.784989342699035,189.46875564627288,1.6425251886275207,1
15,North,Chalky,Wheat,Zaid,Vegetative,Drip,22.72774770449704,20.894609008686334,57.74070625636573,10.100036552801592,8.549645132199624,4.716461871214598,52.4092647086659,24.18894870782106,33.442698488040065,4.8035730600151965,1
16,North,Silt,Tomato,Kharif,Flowering,Drip,22.83831568974037,21.352375861572586,21.0559747462168,9.444187453792539,22.489630411552394,6.845871088162189,114.80809059645297,110.59611584573817,87.71426916170508,6.242089399705827,1
17,Central,Chalky,Tomato,Kharif,Flowering,Drip,31.29695700716764,16.24491976529719,20.521819047746842,3.582279220243509,18.54532273166288,8.049184042016833,3.6213914415588255,31.776949004377855,88.8081323514948,4.407398812312893,1
18,Central,Chalky,Onion,Kharif,Maturity,Flood,46.73295021425665,24.66202605587189,38.009496533863995,6.132586980695869,24.304574204676026,6.613928003838188,14.384427475518947,20.81174488541897,72.6668113398626,4.407684650397179,0
19,East,Sandy,Tomato,Zaid,Maturity,Drip,40.2361513049481,31.79233984001025,27.560539785431395,1.0706217989653755,14.976787758381013,8.011276690280287,92.59232309255056,81.61645094663103,1.8257026430861878,2.93741467358919,1
20,South,Silt,Rice,Rabi,Maturity,Sprinkler,,40.738047419919866,39.51585259518152,5.830121951762289,6.042843302282949,7.743965092220957,40.77480053780804,97.36681201728067,167.2742820945095,9.942465433277285,0
21,West,Chalky,Groundnut,Kharif,Vegetative,Drip,52.829702630566565,35.00782342376042,33.2782470896298,1.5899131929353558,8.191375748041072,4.8034151431796825,133.19407057606688,82.58659739641287,22.869660918550075,10.988759488229967,0
