sample_id,soil_type,sand_pct,silt_pct,clay_pct,organic_matter,water_retention,bulk_density,ec_ds_m,ph,cec
1,Loamy,58.76125662474821,12.950959118435337,21.60761960376503,2.0999400372104606,,1.1475904062801137,1.5582569109851943,7.528294167304643,14.307682844421285
2,Loamy,79.17741387906212,8.961447637510464,39.406887442127605,2.9342893841785287,0.4206050296318059,1.104578057841802,1.8094244727389803,6.650258013609359,36.904965128985495
3,Clay,34.99273575618166,13.377856788502793,20.178347382450916,0.919282296295058,0.36399424785343715,1.478477809841964,0.6949302489072542,5.367121172855095,25.768158448625393
4,Chalky,26.90049490835041,5.194891647074317,17.78012789495186,6.7053886661469155,0.1416818590569976,1.7555045568107384,2.3580575769397796,6.953767441457465,6.109134366983747
5,Chalky,42.782728712588735,6.702383910284672,51.677461120171856,1.0746361062221395,0.464916612844974,1.172292698662361,0.6467884192598506,4.545827485023924,33.10332860962026
6,Sandy,10.597538544430956,40.848550949477435,50.564750924001046,2.0404541504107394,0.23542306752481676,1.1034501375938959,3.6697294458131844,5.8389084473479365,27.47184848882149
7,Silt,50.582909117798245,13.960728755112227,23.07000641426481,2.891907278041487,0.2698178250652834,1.4282283102238633,1.7210756080496739,7.6386933123825305,31.007217761928054
8,Loamy,39.21855913777978,28.399543634159556,9.71444401831976,2.9895176600929227,0.37695080652266133,1.1448618811590299,0.2663371429490327,7.496873489477154,10.66130560448412
9,Silt,20.55448167305439,21.666627712406417,32.36738623795094,2.4882890350504647,0.28450621420707894,1.4333110593239409,0.1068777093657109,7.662743001060681,35.5526388066729
10,Sandy,80.03886829243038,19.80630286007995,29.819007718272104,7.839493100731781,0.33519792722617214,1.4035629641453458,2.7375817048606645,6.85017508120988,32.4000625108682
11,Silt,25.553180342487273,43.56955471114595,52.84125984708248,7.706156449178831,0.2910973179259422,1.0155285606517064,2.484986625320996,6.7931559233977135,38.50979051322218
12,Chalky,66.47714865264356,26.880247003237095,35.081497872488455,5.152243048719264,0.22312074801929202,1.7714741067026665,3.1040456670889522,6.1294700255693115,19.307796871571252
13,Peaty,66.4578240108388,28.25622981847246,56.85242903133665,1.4383506088644087,0.27637619111156464,1.1611257004733604,3.0224747871016753,8.29414695400322,23.14243902448255
14,Clay,13.407201630900287,25.659789206110542,31.584016844039514,5.800077411767272,0.22463399304328835,1.715869707770947,0.11199937776646775,8.297945764397115,29.560552849121922
15,Sandy,44.21131526343395,17.102218098298668,41.70103539018566,7.81576901240601,0.2794565443212902,1.3064635183483837,0.7514216482196447,4.534771238520699,8.653628924185337
16,Sandy,48.11003167472768,35.74631894320011,31.383907672903366,7.987515215361418,0.18100621085269136,1.1267008581859446,1.3709781163025356,8.34889645198985,12.362910916013247
17,Clay,75.40182053034731,7.123080290273134,22.661309055725823,5.124534462373165,0.12427280793889613,1.085427581353851,0.3400171535053478,7.982188108890918,15.088853534339023
18,Chalky,59.95540359403044,17.666315201110272,6.510074698419103,1.914395780425889,0.3795096861266106,1.4085439593314593,0.7948567681839943,6.924031524539878,38.07904463868845
19,Chalky,15.065839134899743,34.76823124907938,48.63314422429242,6.737609545497577,0.15037315914253743,1.289478031875288,2.367588348530249,5.798126580440604,5.04756791671077
20,Sandy,45.90160720375752,6.503771796915177,54.672610347452036,5.1707185240096845,0.4289151678227513,1.7340060085688185,1.8825105619194675,6.183024000950539,39.78883779773213
21,Clay,34.06837214453841,6.156849833837995,45.34752359693716,3.890966182068303,0.2455702745489409,1.161153195842538,3.456171479476793,7.892809177576652,18.845449101465718
22,Chalky,23.675833833749262,21.77443177740239,19.979796019533172,1.6247982503596512,0.1995687619142788,1.5789162623020507,0.9731906813882691,5.090705887767021,27.6901492905229
23,Chalky,32.08343103771423,16.303028276675388,49.932491849866985,2.298418805554424,0.2639115035895485,1.148632757552997,2.1878252828680353,6.983242199313948,19.375670062761394
24,Loamy,77.21776265855338,36.54322457231843,38.70743140323611,4.840006254076112,0.15984667113525247,1.6973650141707135,3.4605376630453497,5.423458647226157,32.44163376386656
